dataset,trees,max_depth,min_samples,mtry,mean_test_acc,std_test_acc,min_test_acc,mean_train_acc,mean_train_s
breast-cancer,300,6,5,3,0.9772000000000001,0.010533375527341661,0.9649,0.99472,0.0195858
breast-cancer,300,6,5,5,0.9754400000000001,0.011647420315245788,0.9561,0.9955999999999999,0.0323324
breast-cancer,300,6,5,8,0.97194,0.010262475334927764,0.9561,0.99648,0.049637600000000004
breast-cancer,300,6,5,11,0.97018,0.01626768576042702,0.9474,0.9973599999999999,0.07368179999999999
breast-cancer,300,6,5,15,0.97018,0.011936900770300513,0.9561,0.99692,0.093238
breast-cancer,300,10,2,3,0.9736800000000001,0.0110996216151723,0.9649,1.0,0.0199614
breast-cancer,300,10,2,5,0.9772000000000001,0.008942930168574503,0.9649,1.0,0.0327856
breast-cancer,300,10,2,8,0.97194,0.010262475334927764,0.9561,1.0,0.051914400000000006
breast-cancer,300,10,2,11,0.9719200000000001,0.014052530021316467,0.9561,1.0,0.07371180000000001
breast-cancer,300,10,2,15,0.9719200000000001,0.014052530021316467,0.9561,1.0,0.1024912
breast-cancer,300,10,5,3,0.9736800000000001,0.012416827292025945,0.9561,1.0,0.0199458
breast-cancer,300,10,5,5,0.9736800000000001,0.012416827292025945,0.9561,1.0,0.0322286
breast-cancer,300,10,5,8,0.97542,0.01403501335945214,0.9561,1.0,0.051897799999999994
breast-cancer,300,10,5,11,0.97366,0.01569720994317144,0.9561,1.0,0.0700794
breast-cancer,300,10,5,15,0.9736800000000001,0.012416827292025945,0.9561,1.0,0.0957166
breast-cancer,300,14,2,3,0.9736800000000001,0.0110996216151723,0.9649,1.0,0.0214098
breast-cancer,300,14,2,5,0.9772000000000001,0.008942930168574503,0.9649,1.0,0.034595200000000007
breast-cancer,300,14,2,8,0.97194,0.010262475334927764,0.9561,1.0,0.052752200000000006
breast-cancer,300,14,2,11,0.9719200000000001,0.014052530021316467,0.9561,1.0,0.06729700000000001
breast-cancer,300,14,2,15,0.9719200000000001,0.014052530021316467,0.9561,1.0,0.0916844
breast-cancer,300,14,5,3,0.9736800000000001,0.012416827292025945,0.9561,1.0,0.0212708
breast-cancer,300,14,5,5,0.9736800000000001,0.012416827292025945,0.9561,1.0,0.0333516
breast-cancer,300,14,5,8,0.97542,0.01403501335945214,0.9561,1.0,0.0514776
breast-cancer,300,14,5,11,0.97366,0.01569720994317144,0.9561,1.0,0.0712434
breast-cancer,300,14,5,15,0.9736800000000001,0.012416827292025945,0.9561,1.0,0.0981928
breast-cancer,300,20,2,3,0.9736800000000001,0.0110996216151723,0.9649,1.0,0.0211456
breast-cancer,300,20,2,5,0.9772000000000001,0.008942930168574503,0.9649,1.0,0.032832
breast-cancer,300,20,2,8,0.97194,0.010262475334927764,0.9561,1.0,0.050239400000000003
breast-cancer,300,20,2,11,0.9719200000000001,0.014052530021316467,0.9561,1.0,0.070509
breast-cancer,300,20,2,15,0.9719200000000001,0.014052530021316467,0.9561,1.0,0.0990532
breast-cancer,300,20,5,3,0.9736800000000001,0.012416827292025945,0.9561,1.0,0.025959799999999998
breast-cancer,300,20,5,5,0.9736800000000001,0.012416827292025945,0.9561,1.0,0.0378162
breast-cancer,300,20,5,8,0.97542,0.01403501335945214,0.9561,1.0,0.0524482
breast-cancer,300,20,5,11,0.97366,0.01569720994317144,0.9561,1.0,0.069646
breast-cancer,300,20,5,15,0.9736800000000001,0.012416827292025945,0.9561,1.0,0.098238
sales_data,100,6,2,3,0.262,0.0208806130178211,0.235,0.70274,0.011326600000000001
sales_data,100,6,2,5,0.263,0.0174928556845359,0.235,0.69874,0.016921
sales_data,100,6,2,8,0.251,0.031843366656181316,0.195,0.7205,0.030184
sales_data,100,6,2,11,0.254,0.03072458299147443,0.22,0.7237600000000001,0.0364958
sales_data,100,6,2,13,0.258,0.02749545416973503,0.225,0.7227399999999999,0.0463516
sales_data,100,6,5,3,0.263,0.02580697580112788,0.225,0.6937599999999999,0.011594799999999999
sales_data,100,6,5,5,0.264,0.01714642819948225,0.24,0.68928,0.018412
sales_data,100,6,5,8,0.252,0.029765752132274434,0.22,0.7135,0.0272774
sales_data,100,6,5,11,0.263,0.03655133376499413,0.22,0.72224,0.038286799999999996
sales_data,100,6,5,13,0.257,0.024207436873820407,0.23,0.71826,0.0452746
sales_data,100,10,2,3,0.244,0.01392838827718412,0.225,0.99024,0.0163824
sales_data,100,10,2,5,0.256,0.019078784028338906,0.225,0.99328,0.0259
sales_data,100,10,2,8,0.268,0.02785677655436823,0.22,0.99176,0.0423826
sales_data,100,10,2,11,0.267,0.02399999999999999,0.225,0.9935,0.060475
sales_data,100,10,2,13,0.256,0.03215587038162705,0.2,0.99352,0.0648836
sales_data,100,10,5,3,0.24500000000000002,0.033015148038438365,0.185,0.9880000000000001,0.0169912
sales_data,100,10,5,5,0.265,0.03146426544510454,0.21,0.98576,0.025154
sales_data,100,10,5,8,0.258,0.023790754506740633,0.23,0.98874,0.040139
sales_data,100,10,5,11,0.263,0.013266499161421611,0.245,0.9902599999999999,0.055279
sales_data,100,10,5,13,0.251,0.030724582991474438,0.205,0.991,0.0638846
sales_data,100,16,2,3,0.259,0.039673668849754734,0.195,1.0,0.020560600000000002
sales_data,100,16,2,5,0.263,0.04154515615568198,0.22,1.0,0.029870200000000003
sales_data,100,16,2,8,0.253,0.02249444375840398,0.22,1.0,0.05237000000000001
sales_data,100,16,2,11,0.273,0.03400000000000001,0.25,1.0,0.0641642
sales_data,100,16,2,13,0.23700000000000002,0.018867962264113212,0.205,1.0,0.07435359999999999
sales_data,100,16,5,3,0.266,0.02615339366124404,0.23,1.0,0.020263399999999997
sales_data,100,16,5,5,0.263,0.025019992006393602,0.23,1.0,0.0305776
sales_data,100,16,5,8,0.255,0.04289522117905443,0.185,1.0,0.0478282
sales_data,100,16,5,11,0.246,0.01933907960581372,0.22,1.0,0.0650596
sales_data,100,16,5,13,0.248,0.016911534525287767,0.215,1.0,0.0784656
sales_data,100,24,2,3,0.252,0.0220454076850486,0.235,1.0,0.0206866
sales_data,100,24,2,5,0.26,0.036742346141747664,0.2,1.0,0.0318104
sales_data,100,24,2,8,0.24300000000000002,0.037762415176998416,0.17,1.0,0.0499532
sales_data,100,24,2,11,0.257,0.03171750305430741,0.21,1.0,0.0667794
sales_data,100,24,2,13,0.24300000000000002,0.02638181191654584,0.195,1.0,0.0778586
sales_data,100,24,5,3,0.26,0.011832159566199242,0.24,1.0,0.019551199999999998
sales_data,100,24,5,5,0.255,0.012247448713915901,0.24,1.0,0.0307336
sales_data,100,24,5,8,0.27199999999999996,0.019646882704388496,0.25,1.0,0.04704
sales_data,100,24,5,11,0.25,0.02000000000000001,0.22,1.0,0.07408780000000001
sales_data,100,24,5,13,0.248,0.02541653005427767,0.2,1.0,0.108428
sales_data,200,6,2,3,0.256,0.02154065922853803,0.225,0.72248,0.0382206
sales_data,200,6,2,5,0.263,0.021587033144922902,0.245,0.7264999999999999,0.055645599999999996
sales_data,200,6,2,8,0.26,0.014142135623730963,0.24,0.7417199999999999,0.06328579999999999
sales_data,200,6,2,11,0.261,0.02817800560721074,0.225,0.75074,0.0840086
sales_data,200,6,2,13,0.27199999999999996,0.020880613017821095,0.24,0.75276,0.1059302
sales_data,200,6,5,3,0.258,0.030265491900843114,0.23,0.71226,0.0240912
sales_data,200,6,5,5,0.262,0.013266499161421592,0.245,0.7175,0.0391266
sales_data,200,6,5,8,0.259,0.012409673645990868,0.245,0.736,0.059579599999999996
sales_data,200,6,5,11,0.26,0.03420526275297414,0.215,0.74824,0.07914099999999999
sales_data,200,6,5,13,0.26799999999999996,0.0215870331449229,0.24,0.74502,0.0963534
sales_data,200,10,2,3,0.24700000000000003,0.01964688270438851,0.215,0.99526,0.036331
sales_data,200,10,2,5,0.25,0.019493588689617935,0.215,0.9967600000000001,0.057818999999999995
sales_data,200,10,2,8,0.269,0.021071307505705468,0.23,0.9952400000000001,0.0922958
